Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160727/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,15.77
Liftedindex,15.87
LIFTcomputedusingvirtualtemperature,16.20
SWEATindex,120.01
Kindex,-5.50
Crosstotalsindex,-4.90
Verticaltotalsindex,23.10
Totalstotalsindex,18.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,270.45
Pres[hPa]oftheLiftedCondensationLevel,793.63
Meanmixedlayerpotentialtemperature,288.92
Meanmixedlayermixingratio,3.98
1000hPato500hPathickness,5579.00
Precipitablewater[mm]forentiresounding,17.57
