"","relhum","oct","probmorethan1oct","probmorethan2oct","probmorethan3oct","probmorethan4oct","probmorethan5oct","probmorethan6oct","probmorethan7oct","probmorethan8oct"
"1",70,1,1,0.563195076851564,0.436471384229087,0.262970025274659,0.180868245612381,0.0723801419221325,0.04833857090542,0.0021334659561266
"2",71,1,1,0.573133272821264,0.45053294029764,0.281292158818752,0.206422221188581,0.0844396221008865,0.053134026752256,0.00722226300726017
"3",72,1,1,0.593381825682007,0.47008683636091,0.305978747759562,0.235172295592806,0.103495805944181,0.0623269039952114,0.0155289172579459
"4",73,1,1,0.620496077629527,0.493695772627495,0.3329830038909,0.261324250537979,0.126612198580154,0.07482178760896,0.0226936114045687
"5",74,1,1,0.65056279543445,0.519342480049532,0.358963296829485,0.281625195268978,0.148314434723311,0.0887164130307696,0.0268958429938837
"6",75,1,1,0.682252309426991,0.547173701175457,0.383910364706076,0.29779326951051,0.167200982616399,0.106175719860392,0.0332086507375259
"7",76,1,1,0.713862113336215,0.575879513975215,0.406748995945386,0.31080564374606,0.183260086894875,0.127359043361841,0.0437736411509663
"8",77,1,1,0.741857666401957,0.601163317120379,0.423260081304292,0.317742821485058,0.193803187626013,0.145435699928979,0.0516674088105972
"9",78,1,1,0.76327662233729,0.619205679848722,0.430006689668316,0.31586075945897,0.195456512181913,0.151963725513782,0.0500409065899621
"10",79,1,1,0.7778736423236,0.629874641993731,0.428616689818782,0.30796091289886,0.188906973318726,0.145378738222009,0.0405196204245308
"11",80,1,1,0.787725220780746,0.636244262261523,0.425160671910203,0.301723920821089,0.179345462581985,0.131962781450188,0.0299101177779468
"12",81,3,1,0.795746298449547,0.642278752742212,0.426150669051287,0.304522035327189,0.173628523096045,0.120975911857226,0.0229593407354115
"13",82,3,1,0.804925090515432,0.651731617865659,0.435941380477369,0.31990118864076,0.178572815661659,0.120731939231998,0.0214369797801556
"14",83,3,1,0.816739915347733,0.66594769313702,0.454458472325441,0.345233114867568,0.195932652859478,0.132720026158063,0.0237902382151133
"15",84,3,1,0.829728614083481,0.681842738290996,0.475894315127539,0.371648646184909,0.217168770943913,0.147466613130029,0.0248877699334942
"16",85,3,1,0.841691069021916,0.695815598066943,0.495442781551282,0.393002170734005,0.233395543061345,0.156223820040142,0.0223596922992725
"17",86,3,1,0.851816230138121,0.707345013981587,0.513309398124132,0.410311294310886,0.243659711765766,0.159683672667591,0.0193925679068776
"18",87,3,1,0.86029123346639,0.717950173856848,0.531270252704692,0.426981770615886,0.252124304709322,0.163786396090168,0.0193559589019358
"19",88,5,1,0.867226153241193,0.72865975371607,0.548909971925835,0.443753760747425,0.261264252146534,0.171313748709195,0.021619051613162
"20",89,5,1,0.87254025981316,0.739438047612165,0.56411096387063,0.458903033320769,0.270720827891784,0.180812627749549,0.0233938834528028
"21",90,5,1,0.876732277908346,0.750603581193667,0.576919732272272,0.472741263079376,0.281518661826458,0.192392432586105,0.024926215782532
"22",91,5,1,0.880922987395475,0.762934435943378,0.590019849523316,0.488117537333515,0.296676087185656,0.209117129529865,0.0300288457436264
"23",92,7,1,0.885954429933256,0.776231172365531,0.605390447840066,0.506457958191403,0.316689060318508,0.23145095778469,0.0400771663951205
"24",93,7,1,0.891839579757949,0.789044516176398,0.622327497608667,0.52588840236342,0.338638321321927,0.255551062328022,0.0525356902493417
"25",94,7,1,0.898433639664342,0.800611325243428,0.639967309699326,0.544946786251336,0.360822854161548,0.278783949364714,0.0670662408865751
"26",95,7,1,0.905627884573195,0.811357553922584,0.658109326979796,0.56381150069088,0.383258166605674,0.301155182534447,0.0851059178702544
"27",96,7,1,0.912764125863299,0.821243518248466,0.675551764220952,0.58171256932535,0.403665264365072,0.320790668609302,0.10238303934694
"28",97,7,1,0.918869412293788,0.829486147495699,0.690310592569587,0.596743398688329,0.418832786475564,0.334917202100192,0.111798961411704
"29",98,7,1,0.923075804248251,0.835130669272167,0.701424394205093,0.607873592153003,0.428423149850816,0.343885246183435,0.113281021433474
"30",99,7,1,0.924420693583945,0.836778853217015,0.707703310295743,0.613556382111785,0.432496482193565,0.34861210358939,0.111546939024433
"31",100,7,1,0.920965997857589,0.830912541913819,0.704732027997159,0.607774324061572,0.425691480878171,0.343779402286156,0.106044178232075
