Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160122/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.70
Liftedindex,6.77
LIFTcomputedusingvirtualtemperature,6.54
SWEATindex,128.98
Kindex,7.10
Crosstotalsindex,13.10
Verticaltotalsindex,24.10
Totalstotalsindex,37.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,286.37
Pres[hPa]oftheLiftedCondensationLevel,866.96
Meanmixedlayerpotentialtemperature,298.30
Meanmixedlayermixingratio,11.15
1000hPato500hPathickness,5783.00
Precipitablewater[mm]forentiresounding,34.60
