Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120602/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,1.64
Liftedindex,-0.76
LIFTcomputedusingvirtualtemperature,-0.84
SWEATindex,123.29
Kindex,29.00
Crosstotalsindex,23.60
Verticaltotalsindex,24.90
Totalstotalsindex,48.50
ConvectiveAvailablePotentialEnergy,67.91
CAPEusingvirtualtemperature,83.61
ConvectiveInhibition,-15.31
CINSusingvirtualtemperature,-11.76
EquilibrumLevel,439.22
EquilibrumLevelusingvirtualtemperature,436.49
LevelofFreeConvection,890.01
LFCTusingvirtualtemperature,898.94
BulkRichardsonNumber,2.65
BulkRichardsonNumberusingCAPV,3.26
Temp[K]oftheLiftedCondensationLevel,287.34
Pres[hPa]oftheLiftedCondensationLevel,955.44
Meanmixedlayerpotentialtemperature,291.13
Meanmixedlayermixingratio,10.77
1000hPato500hPathickness,5584.00
Precipitablewater[mm]forentiresounding,34.75
