Stationidentifier,YBBN
Stationnumber,94578
Observationtime,111017/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.15
Liftedindex,1.57
LIFTcomputedusingvirtualtemperature,1.22
SWEATindex,134.40
Kindex,0.10
Crosstotalsindex,20.30
Verticaltotalsindex,22.90
Totalstotalsindex,43.20
ConvectiveAvailablePotentialEnergy,32.70
CAPEusingvirtualtemperature,53.27
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
EquilibrumLevel,716.16
EquilibrumLevelusingvirtualtemperature,714.95
LevelofFreeConvection,927.20
LFCTusingvirtualtemperature,927.20
BulkRichardsonNumber,2.58
BulkRichardsonNumberusingCAPV,4.20
Temp[K]oftheLiftedCondensationLevel,286.66
Pres[hPa]oftheLiftedCondensationLevel,927.20
Meanmixedlayerpotentialtemperature,292.93
Meanmixedlayermixingratio,10.61
1000hPato500hPathickness,5619.00
Precipitablewater[mm]forentiresounding,26.85
