Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130128/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.90
Liftedindex,3.03
LIFTcomputedusingvirtualtemperature,2.04
SWEATindex,326.01
Kindex,23.20
Crosstotalsindex,17.00
Verticaltotalsindex,17.20
Totalstotalsindex,34.20
ConvectiveAvailablePotentialEnergy,43.79
CAPEusingvirtualtemperature,90.23
ConvectiveInhibition,-2.41
CINSusingvirtualtemperature,-1.24
EquilibrumLevel,522.95
EquilibrumLevelusingvirtualtemperature,520.27
LevelofFreeConvection,912.42
LFCTusingvirtualtemperature,925.98
BulkRichardsonNumber,1.73
BulkRichardsonNumberusingCAPV,3.57
Temp[K]oftheLiftedCondensationLevel,294.65
Pres[hPa]oftheLiftedCondensationLevel,947.67
Meanmixedlayerpotentialtemperature,299.23
Meanmixedlayermixingratio,17.38
1000hPato500hPathickness,5806.00
Precipitablewater[mm]forentiresounding,48.38
