Stationidentifier,YBBN
Stationnumber,94578
Observationtime,161028/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.88
Liftedindex,0.34
LIFTcomputedusingvirtualtemperature,0.22
SWEATindex,61.80
Kindex,26.80
Crosstotalsindex,18.30
Verticaltotalsindex,28.30
Totalstotalsindex,46.60
ConvectiveAvailablePotentialEnergy,34.97
CAPEusingvirtualtemperature,52.04
ConvectiveInhibition,-196.24
CINSusingvirtualtemperature,-159.19
EquilibrumLevel,470.60
EquilibrumLevelusingvirtualtemperature,467.52
LevelofFreeConvection,669.18
LFCTusingvirtualtemperature,680.81
BulkRichardsonNumber,1.97
BulkRichardsonNumberusingCAPV,2.93
Temp[K]oftheLiftedCondensationLevel,283.80
Pres[hPa]oftheLiftedCondensationLevel,871.65
Meanmixedlayerpotentialtemperature,295.17
Meanmixedlayermixingratio,9.33
1000hPato500hPathickness,5616.00
Precipitablewater[mm]forentiresounding,28.06
