Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150325/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.11
Liftedindex,1.62
LIFTcomputedusingvirtualtemperature,0.98
SWEATindex,183.60
Kindex,27.10
Crosstotalsindex,17.30
Verticaltotalsindex,23.30
Totalstotalsindex,40.60
ConvectiveAvailablePotentialEnergy,3.78
CAPEusingvirtualtemperature,28.73
ConvectiveInhibition,-230.45
CINSusingvirtualtemperature,-181.97
EquilibrumLevel,345.85
EquilibrumLevelusingvirtualtemperature,340.70
LevelofFreeConvection,667.61
LFCTusingvirtualtemperature,708.41
BulkRichardsonNumber,0.20
BulkRichardsonNumberusingCAPV,1.56
Temp[K]oftheLiftedCondensationLevel,291.26
Pres[hPa]oftheLiftedCondensationLevel,926.19
Meanmixedlayerpotentialtemperature,297.72
Meanmixedlayermixingratio,14.34
1000hPato500hPathickness,5763.00
Precipitablewater[mm]forentiresounding,37.89
