Stationidentifier,YBBN
Stationnumber,94578
Observationtime,111007/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.57
Liftedindex,1.93
LIFTcomputedusingvirtualtemperature,1.59
SWEATindex,158.81
Kindex,27.80
Crosstotalsindex,21.60
Verticaltotalsindex,24.10
Totalstotalsindex,45.70
ConvectiveAvailablePotentialEnergy,9.08
CAPEusingvirtualtemperature,22.48
ConvectiveInhibition,-2.60
CINSusingvirtualtemperature,-0.86
EquilibrumLevel,650.58
EquilibrumLevelusingvirtualtemperature,632.42
LevelofFreeConvection,911.49
LFCTusingvirtualtemperature,915.83
BulkRichardsonNumber,0.56
BulkRichardsonNumberusingCAPV,1.38
Temp[K]oftheLiftedCondensationLevel,285.99
Pres[hPa]oftheLiftedCondensationLevel,925.25
Meanmixedlayerpotentialtemperature,292.42
Meanmixedlayermixingratio,10.18
1000hPato500hPathickness,5598.00
Precipitablewater[mm]forentiresounding,28.79
