Stationidentifier,YBBN
Stationnumber,94578
Observationtime,131122/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.73
Liftedindex,2.22
LIFTcomputedusingvirtualtemperature,1.97
SWEATindex,35.00
Kindex,11.70
Crosstotalsindex,8.30
Verticaltotalsindex,25.30
Totalstotalsindex,33.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,285.87
Pres[hPa]oftheLiftedCondensationLevel,887.42
Meanmixedlayerpotentialtemperature,295.81
Meanmixedlayermixingratio,10.55
1000hPato500hPathickness,5693.00
Precipitablewater[mm]forentiresounding,28.41
