PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1013.0,5,26.8,19.8,66,14.57,140,8,298.9,341.5,301.4
1003.0,93,24.8,16.8,61,12.14,132,10,297.7,333.1,299.9
1000.0,120,24.6,17.6,65,12.82,130,11,297.8,335.2,300.0
989.0,216,23.7,17.4,68,12.84,120,13,297.8,335.2,300.1
926.0,789,18.2,16.5,90,12.91,140,13,297.8,335.5,300.1
925.0,798,18.2,16.2,88,12.68,140,13,297.9,334.9,300.2
897.0,1061,16.8,12.4,75,10.18,113,8,299.1,329.1,300.9
894.0,1090,16.6,12.4,76,10.22,110,8,299.2,329.3,301.0
858.0,1439,14.0,12.4,90,10.65,95,6,300.0,331.5,301.9
850.0,1518,13.6,11.3,86,9.99,90,6,300.4,330.0,302.2
823.0,1790,12.2,8.4,77,8.48,80,10,301.7,327.1,303.3
822.0,1800,12.2,8.3,77,8.42,81,10,301.8,327.0,303.3
816.0,1862,12.4,6.4,67,7.44,87,10,302.6,325.1,304.0
809.0,1934,13.2,-3.8,30,3.58,93,10,304.2,315.5,304.9
807.0,1955,13.3,-2.7,33,3.89,95,10,304.5,316.7,305.2
803.0,1996,13.4,-0.6,38,4.58,94,10,305.1,319.4,305.9
770.0,2349,13.8,-13.2,14,1.80,90,9,309.2,315.2,309.5
757.0,2492,12.6,-0.4,41,4.93,88,9,309.4,325.0,310.3
738.0,2705,10.8,0.8,50,5.53,86,8,309.7,327.1,310.7
712.0,3003,8.8,-6.2,34,3.39,82,7,310.7,321.7,311.3
700.0,3143,7.6,-6.4,36,3.40,80,7,310.9,321.9,311.5
678.0,3405,5.0,-2.0,61,4.90,69,6,310.8,326.4,311.7
668.0,3526,4.2,-0.8,70,5.43,63,6,311.2,328.5,312.3
577.0,4704,-2.3,-9.3,59,3.29,11,1,316.9,327.9,317.6
564.0,4885,-1.9,-12.9,43,2.53,3,0,319.5,328.1,320.0
560.0,4941,-2.3,-13.0,44,2.53,0,0,319.6,328.2,320.1
509.0,5691,-8.3,-13.8,64,2.60,285,10,321.2,330.1,321.7
504.0,5768,-8.9,-13.9,67,2.61,293,11,321.4,330.3,321.9
500.0,5830,-9.3,-14.3,67,2.54,300,12,321.6,330.4,322.1
496.0,5892,-9.6,-16.2,59,2.19,300,12,322.0,329.6,322.4
487.0,6034,-10.3,-20.5,43,1.55,290,11,322.8,328.3,323.1
480.0,6146,-10.9,-23.9,33,1.16,268,11,323.4,327.6,323.7
474.0,6243,-9.7,-32.7,13,0.52,250,12,326.1,328.1,326.2
471.0,6291,-10.1,-33.0,13,0.51,240,12,326.2,328.1,326.3
400.0,7530,-19.9,-40.9,14,0.27,260,20,329.0,330.1,329.1
394.0,7642,-20.7,-41.7,13,0.25,262,21,329.4,330.4,329.5
386.0,7794,-19.9,-52.9,4,0.07,265,22,332.4,332.7,332.4
373.0,8044,-22.1,-53.2,4,0.07,270,24,332.8,333.1,332.8
346.0,8593,-26.9,-53.9,6,0.07,265,30,333.5,333.8,333.5
332.0,8890,-27.7,-59.7,3,0.04,262,33,336.3,336.5,336.4
300.0,9610,-33.1,-61.1,4,0.03,255,40,338.6,338.8,338.6
296.0,9704,-34.1,-62.1,4,0.03,254,41,338.5,338.6,338.5
258.0,10655,-39.1,-75.1,1,0.01,247,47,344.7,344.7,344.7
250.0,10870,-40.7,-72.7,2,0.01,245,49,345.4,345.5,345.4
218.0,11778,-47.6,-75.9,2,0.01,235,53,348.6,348.6,348.6
200.0,12350,-51.9,-77.9,3,0.00,240,63,350.4,350.4,350.4
189.0,12711,-54.8,-79.3,3,0.00,245,65,351.5,351.5,351.5
171.0,13348,-59.9,-81.9,4,0.00,241,59,353.2,353.2,353.2
150.0,14160,-64.1,,,,235,50,359.5,,359.5
146.0,14322,-65.2,,,,235,48,360.4,,360.4
130.0,15018,-69.9,,,,230,56,364.1,,364.1
120.0,15498,-73.1,,,,235,46,366.6,,366.6
100.0,16560,-75.5,,,,245,23,381.6,,381.6
96.0,16795,-76.8,,,,255,28,383.5,,383.5
95.2,16843,-77.1,,,,250,29,383.9,,383.9
93.0,16978,-76.8,,,,245,31,387.0,,387.0
89.0,17232,-76.2,,,,230,21,393.1,,393.1
88.0,17297,-76.1,,,,230,18,394.6,,394.6
81.0,17776,-75.0,,,,240,10,406.3,,406.3
79.0,17921,-74.7,,,,245,9,409.9,,409.9
76.0,18145,-74.2,,,,210,7,415.5,,415.5
74.0,18299,-73.8,,,,265,2,419.4,,419.4
70.0,18620,-73.1,,,,260,5,427.7,,427.7
66.0,18965,-72.9,,,,105,10,435.3,,435.3
65.1,19046,-72.9,,,,92,10,437.1,,437.1
65.0,19055,-72.9,,,,90,10,437.4,,437.4
58.3,19698,-69.7,,,,80,14,458.3,,458.3
55.7,19973,-65.3,,,,75,16,474.3,,474.3
50.0,20630,-65.3,,,,65,20,489.2,,489.2
49.0,20753,-65.7,,,,60,16,491.1,,491.1
48.5,20815,-65.9,,,,60,16,492.0,,492.0
45.0,21278,-62.3,,,,60,15,511.4,,511.4
42.6,21616,-59.7,,,,96,20,525.9,,525.9
42.0,21704,-60.1,,,,105,21,527.0,,527.0
39.1,22149,-62.1,,,,105,19,532.9,,532.9
39.0,22165,-62.0,,,,105,19,533.4,,533.4
31.0,23604,-57.4,,,,65,39,582.0,,582.0
30.2,23768,-56.9,,,,61,33,587.8,,587.8
30.0,23810,-56.5,,,,60,32,590.0,,590.0
28.0,24253,-53.8,,,,85,24,609.2,,609.2
25.2,24930,-49.7,,,,93,27,639.6,,639.6
23.0,25531,-48.3,,,,100,29,660.7,,660.7
22.0,25823,-47.6,,,,85,26,671.2,,671.2
