Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140607/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.76
Liftedindex,7.01
LIFTcomputedusingvirtualtemperature,6.81
SWEATindex,57.81
Kindex,-0.50
Crosstotalsindex,16.10
Verticaltotalsindex,23.10
Totalstotalsindex,39.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,280.58
Pres[hPa]oftheLiftedCondensationLevel,890.35
Meanmixedlayerpotentialtemperature,290.06
Meanmixedlayermixingratio,7.33
1000hPato500hPathickness,5560.00
Precipitablewater[mm]forentiresounding,16.08
