Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110926/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.00
Liftedindex,4.27
LIFTcomputedusingvirtualtemperature,4.06
SWEATindex,297.92
Kindex,11.10
Crosstotalsindex,21.70
Verticaltotalsindex,23.70
Totalstotalsindex,45.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,280.76
Pres[hPa]oftheLiftedCondensationLevel,879.33
Meanmixedlayerpotentialtemperature,291.28
Meanmixedlayermixingratio,7.51
1000hPato500hPathickness,5561.00
Precipitablewater[mm]forentiresounding,19.89
