Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140914/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.52
Liftedindex,4.52
LIFTcomputedusingvirtualtemperature,4.27
SWEATindex,91.79
Kindex,15.10
Crosstotalsindex,18.50
Verticaltotalsindex,20.70
Totalstotalsindex,39.20
ConvectiveAvailablePotentialEnergy,24.37
CAPEusingvirtualtemperature,47.74
ConvectiveInhibition,-1.29
CINSusingvirtualtemperature,-0.32
EquilibrumLevel,703.28
EquilibrumLevelusingvirtualtemperature,692.87
LevelofFreeConvection,886.74
LFCTusingvirtualtemperature,812.78
BulkRichardsonNumber,4.57
BulkRichardsonNumberusingCAPV,8.96
Temp[K]oftheLiftedCondensationLevel,283.54
Pres[hPa]oftheLiftedCondensationLevel,911.70
Meanmixedlayerpotentialtemperature,291.14
Meanmixedlayermixingratio,8.76
1000hPato500hPathickness,5553.00
Precipitablewater[mm]forentiresounding,21.39
