Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140114/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.70
Liftedindex,4.54
LIFTcomputedusingvirtualtemperature,4.10
SWEATindex,133.82
Kindex,-3.90
Crosstotalsindex,12.70
Verticaltotalsindex,19.70
Totalstotalsindex,32.40
ConvectiveAvailablePotentialEnergy,9.83
CAPEusingvirtualtemperature,18.24
ConvectiveInhibition,-16.05
CINSusingvirtualtemperature,-5.13
EquilibrumLevel,786.76
EquilibrumLevelusingvirtualtemperature,782.06
LevelofFreeConvection,825.26
LFCTusingvirtualtemperature,851.90
BulkRichardsonNumber,1.06
BulkRichardsonNumberusingCAPV,1.97
Temp[K]oftheLiftedCondensationLevel,286.38
Pres[hPa]oftheLiftedCondensationLevel,881.00
Meanmixedlayerpotentialtemperature,296.95
Meanmixedlayermixingratio,10.98
1000hPato500hPathickness,5708.00
Precipitablewater[mm]forentiresounding,25.51
