Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140923/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.75
Liftedindex,5.45
LIFTcomputedusingvirtualtemperature,5.35
SWEATindex,91.81
Kindex,-16.60
Crosstotalsindex,19.00
Verticaltotalsindex,20.50
Totalstotalsindex,39.50
ConvectiveAvailablePotentialEnergy,44.15
CAPEusingvirtualtemperature,54.37
ConvectiveInhibition,-3.06
CINSusingvirtualtemperature,-1.45
EquilibrumLevel,774.74
EquilibrumLevelusingvirtualtemperature,772.54
LevelofFreeConvection,878.36
LFCTusingvirtualtemperature,884.04
BulkRichardsonNumber,8.32
BulkRichardsonNumberusingCAPV,10.24
Temp[K]oftheLiftedCondensationLevel,281.57
Pres[hPa]oftheLiftedCondensationLevel,895.75
Meanmixedlayerpotentialtemperature,290.58
Meanmixedlayermixingratio,7.80
1000hPato500hPathickness,5548.00
Precipitablewater[mm]forentiresounding,20.64
