PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1017.0,5,23.2,19.1,78,13.88,215,8,294.9,334.9,297.4
1000.0,148,21.0,18.0,83,13.16,195,8,294.1,331.9,296.5
999.0,157,21.0,18.0,83,13.17,194,8,294.2,332.1,296.6
970.0,412,19.8,17.6,87,13.23,168,8,295.5,333.7,297.9
936.0,720,18.0,14.5,80,11.21,136,7,296.7,329.3,298.7
926.0,812,17.8,12.8,73,10.12,126,7,297.4,327.1,299.2
925.0,821,17.6,12.6,72,10.00,125,7,297.3,326.6,299.1
878.0,1264,14.6,8.6,67,8.05,144,8,298.6,322.5,300.1
859.0,1449,12.8,11.0,89,9.68,151,8,298.6,327.2,300.4
850.0,1537,12.6,9.1,79,8.60,155,8,299.3,324.8,300.9
838.0,1657,12.4,8.4,77,8.32,158,7,300.3,325.1,301.9
830.0,1737,12.2,6.2,67,7.21,160,7,300.9,322.6,302.3
794.0,2107,8.8,4.0,72,6.46,170,5,301.2,320.7,302.3
789.0,2160,10.0,5.0,71,6.98,173,5,303.0,324.2,304.3
737.0,2719,4.3,0.0,74,5.22,210,10,302.8,318.8,303.7
717.0,2945,2.0,-2.0,75,4.63,230,11,302.6,316.9,303.5
715.0,2968,1.8,-2.2,75,4.57,230,11,302.6,316.7,303.4
707.0,3059,2.4,-11.6,35,2.24,230,9,304.2,311.5,304.7
700.0,3139,1.6,-13.4,32,1.95,230,7,304.2,310.6,304.6
670.0,3492,1.8,-32.2,6,0.39,230,9,308.3,309.7,308.4
648.0,3761,0.4,-39.1,3,0.20,230,10,309.6,310.4,309.7
642.0,3836,0.0,-41.0,3,0.17,233,10,310.0,310.7,310.1
637.0,3898,0.0,-48.0,1,0.08,235,11,310.7,311.0,310.7
622.0,4089,0.2,-44.8,2,0.11,242,12,313.1,313.5,313.1
604.0,4321,-1.5,-43.0,3,0.14,250,13,313.8,314.3,313.8
568.0,4805,-5.0,-39.2,5,0.23,225,12,315.2,316.1,315.3
542.0,5175,-7.6,-36.3,8,0.32,240,15,316.3,317.5,316.4
530.0,5351,-8.9,-34.9,10,0.37,233,16,316.8,318.2,316.9
515.0,5572,-10.7,-31.8,16,0.52,225,17,317.3,319.2,317.4
500.0,5800,-12.5,-28.5,25,0.73,240,16,317.7,320.4,317.9
499.0,5815,-12.7,-28.7,25,0.72,241,16,317.7,320.3,317.8
472.0,6235,-15.5,-38.5,12,0.29,259,17,319.3,320.4,319.4
470.0,6267,-15.8,-38.7,12,0.29,260,17,319.3,320.4,319.4
423.0,7046,-23.5,-43.5,14,0.19,267,19,319.2,320.0,319.3
400.0,7450,-26.7,-46.7,13,0.14,270,20,320.2,320.8,320.2
335.0,8705,-37.5,-56.5,12,0.05,277,25,322.1,322.3,322.1
314.0,9150,-40.7,-60.7,10,0.03,279,26,323.6,323.8,323.6
306.0,9326,-42.2,-62.2,9,0.03,280,27,324.0,324.1,324.0
300.0,9460,-43.3,-63.3,9,0.03,280,26,324.2,324.3,324.2
279.0,9943,-47.7,-64.7,12,0.02,285,25,324.7,324.8,324.7
277.0,9990,-48.0,-65.0,12,0.02,285,25,325.0,325.1,325.0
265.0,10279,-49.5,-67.0,11,0.02,290,24,326.9,327.0,326.9
254.0,10556,-51.0,-68.8,10,0.01,300,30,328.7,328.8,328.7
250.0,10660,-51.5,-69.5,10,0.01,300,32,329.4,329.4,329.4
242.0,10872,-52.7,-70.7,10,0.01,298,35,330.6,330.7,330.6
219.0,11515,-54.5,-75.6,6,0.01,290,43,337.5,337.5,337.5
200.0,12100,-56.1,-80.1,3,0.00,285,43,343.8,343.8,343.8
198.0,12163,-56.2,-80.5,3,0.00,285,42,344.6,344.6,344.6
161.0,13468,-58.6,-89.2,1,0.00,285,50,361.6,361.6,361.6
159.0,13547,-58.7,-89.7,1,0.00,285,50,362.7,362.7,362.7
153.0,13787,-60.1,-91.1,1,0.00,285,49,364.3,364.3,364.3
150.0,13910,-60.5,-91.1,1,0.00,285,48,365.6,365.7,365.6
143.0,14206,-62.3,-91.0,1,0.00,285,49,367.5,367.6,367.5
140.0,14336,-62.4,-90.9,1,0.00,285,49,369.6,369.6,369.6
122.0,15182,-62.9,-90.7,1,0.00,280,43,383.5,383.5,383.5
105.0,16095,-66.5,-90.4,2,0.00,275,37,393.5,393.5,393.5
100.0,16390,-66.3,-90.3,2,0.00,280,32,399.4,399.4,399.4
91.0,16960,-67.6,-90.1,3,0.00,300,29,407.7,407.7,407.7
90.3,17006,-67.7,-90.1,3,0.00,300,29,408.4,408.4,408.4
82.0,17589,-65.9,-89.9,2,0.00,300,25,423.5,423.5,423.5
79.0,17814,-67.0,-89.9,3,0.00,300,24,425.7,425.7,425.7
77.3,17946,-67.7,-89.8,3,0.00,292,24,426.9,426.9,426.9
75.0,18129,-66.2,-89.8,2,0.00,280,24,433.8,433.9,433.8
73.0,18294,-64.8,-89.7,2,0.00,285,16,440.1,440.1,440.1
72.0,18377,-64.1,-89.7,2,0.00,320,14,443.3,443.3,443.3
71.7,18403,-63.9,-89.7,2,0.00,320,14,444.3,444.3,444.3
70.0,18550,-63.7,-89.6,2,0.00,320,15,447.8,447.8,447.8
69.0,18638,-64.1,-89.6,2,0.00,320,15,448.7,448.7,448.7
66.4,18873,-65.3,-89.5,2,0.00,297,16,451.1,451.1,451.1
65.0,19004,-64.9,-89.5,2,0.00,285,17,454.8,454.8,454.8
64.0,19099,-64.6,-89.5,2,0.00,290,13,457.5,457.5,457.5
61.0,19394,-63.6,-89.4,2,0.00,350,11,465.9,465.9,465.9
57.1,19800,-62.3,-89.2,2,0.00,336,7,477.8,477.8,477.8
55.9,19931,-63.3,-89.2,2,0.00,331,6,478.4,478.4,478.4
52.9,20275,-58.1,-89.1,1,0.00,319,2,498.0,498.1,498.0
52.0,20383,-58.3,-89.3,1,0.00,315,1,499.9,499.9,499.9
50.0,20630,-58.9,-89.9,1,0.00,25,8,504.2,504.3,504.2
49.4,20706,-59.5,-90.5,1,0.00,32,8,504.6,504.6,504.6
45.0,21297,-57.8,-89.4,1,0.00,85,10,522.4,522.5,522.4
43.0,21586,-56.9,-88.9,1,0.00,80,17,531.4,531.4,531.4
42.0,21735,-56.5,-88.6,1,0.00,70,15,536.0,536.0,536.0
40.0,22044,-55.6,-88.0,1,0.00,45,10,545.8,545.9,545.8
37.0,22539,-54.1,-87.1,1,0.01,55,14,561.9,561.9,561.9
34.0,23083,-53.5,-86.5,1,0.01,65,18,577.3,577.4,577.3
32.0,23474,-53.0,-86.0,1,0.01,85,12,588.6,588.7,588.6
31.0,23679,-52.8,-85.8,1,0.01,70,14,594.6,594.7,594.6
30.0,23890,-52.5,-85.5,1,0.01,70,13,600.9,601.0,600.9
29.0,24109,-52.3,-85.3,1,0.01,95,11,607.4,607.5,607.4
26.0,24816,-51.5,-84.5,1,0.01,90,19,628.8,628.9,628.8
25.9,24841,-51.5,-84.5,1,0.01,88,19,629.5,629.6,629.5
24.0,25340,-49.5,-83.3,1,0.02,55,17,649.3,649.5,649.3
23.0,25619,-48.3,-82.6,1,0.02,75,14,660.6,660.8,660.6
21.5,26061,-46.5,-81.5,1,0.02,75,15,678.9,679.1,678.9
21.0,26217,-46.8,-81.8,1,0.02,75,15,682.7,682.9,682.7
20.0,26540,-47.3,-82.3,1,0.02,105,17,690.6,690.9,690.6
19.0,26878,-47.6,-82.3,1,0.02,120,17,699.8,700.0,699.8
17.2,27535,-48.3,-82.3,1,0.03,108,16,717.8,718.1,717.9
16.0,28011,-48.1,-82.1,1,0.03,100,15,733.5,733.9,733.6
15.1,28393,-47.9,-81.9,1,0.03,,,746.4,746.7,746.4
