Stationidentifier,YBBN
Stationnumber,94578
Observationtime,151126/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.66
Liftedindex,2.19
LIFTcomputedusingvirtualtemperature,1.66
SWEATindex,44.00
Kindex,18.10
Crosstotalsindex,5.10
Verticaltotalsindex,27.10
Totalstotalsindex,32.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,288.89
Pres[hPa]oftheLiftedCondensationLevel,901.66
Meanmixedlayerpotentialtemperature,297.58
Meanmixedlayermixingratio,12.65
1000hPato500hPathickness,5752.00
Precipitablewater[mm]forentiresounding,30.66
