Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100812/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.85
Liftedindex,5.15
LIFTcomputedusingvirtualtemperature,5.06
SWEATindex,117.99
Kindex,1.40
Crosstotalsindex,21.20
Verticaltotalsindex,23.90
Totalstotalsindex,45.10
ConvectiveAvailablePotentialEnergy,5.50
CAPEusingvirtualtemperature,7.06
ConvectiveInhibition,-1.91
CINSusingvirtualtemperature,0.00
EquilibrumLevel,846.92
EquilibrumLevelusingvirtualtemperature,846.21
LevelofFreeConvection,849.06
LFCTusingvirtualtemperature,857.33
BulkRichardsonNumber,0.15
BulkRichardsonNumberusingCAPV,0.19
Temp[K]oftheLiftedCondensationLevel,274.78
Pres[hPa]oftheLiftedCondensationLevel,857.87
Meanmixedlayerpotentialtemperature,287.10
Meanmixedlayermixingratio,5.05
1000hPato500hPathickness,5484.00
Precipitablewater[mm]forentiresounding,10.35
