Stationidentifier,YBBN
Stationnumber,94578
Observationtime,161206/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,-1.78
Liftedindex,-0.57
LIFTcomputedusingvirtualtemperature,-0.83
SWEATindex,210.42
Kindex,36.30
Crosstotalsindex,21.70
Verticaltotalsindex,26.70
Totalstotalsindex,48.40
ConvectiveAvailablePotentialEnergy,39.54
CAPEusingvirtualtemperature,79.62
ConvectiveInhibition,-388.76
CINSusingvirtualtemperature,-346.01
EquilibrumLevel,451.77
EquilibrumLevelusingvirtualtemperature,349.35
LevelofFreeConvection,611.14
LFCTusingvirtualtemperature,626.36
BulkRichardsonNumber,0.82
BulkRichardsonNumberusingCAPV,1.65
Temp[K]oftheLiftedCondensationLevel,291.95
Pres[hPa]oftheLiftedCondensationLevel,940.63
Meanmixedlayerpotentialtemperature,297.11
Meanmixedlayermixingratio,14.77
1000hPato500hPathickness,5766.00
Precipitablewater[mm]forentiresounding,47.00
