PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1030.0,5,16.0,12.5,80,8.91,170,11,286.7,311.7,288.3
1007.0,195,13.8,12.1,89,8.88,150,23,286.4,311.2,287.9
1000.0,254,13.6,12.1,91,8.94,150,23,286.8,311.8,288.3
974.0,476,13.6,10.0,79,7.97,136,24,288.9,311.6,290.3
954.0,650,12.2,9.9,86,8.07,125,24,289.2,312.1,290.6
925.0,909,10.0,9.7,98,8.23,120,26,289.5,312.9,291.0
916.0,990,9.6,9.5,99,8.20,119,26,289.9,313.3,291.4
850.0,1608,6.0,5.8,99,6.85,110,27,292.4,312.3,293.6
834.0,1764,5.3,5.1,99,6.63,110,28,293.2,312.6,294.4
824.0,1862,4.8,4.6,99,6.49,112,28,293.8,312.8,294.9
780.0,2308,2.2,1.3,94,5.42,120,29,295.6,311.7,296.6
757.0,2550,0.8,-0.5,91,4.90,116,25,296.6,311.3,297.5
739.0,2744,-0.3,-6.3,64,3.25,113,23,297.5,307.5,298.1
734.0,2798,0.0,-17.0,27,1.38,112,22,298.4,302.9,298.6
730.0,2842,1.6,-32.4,6,0.35,111,21,300.6,301.8,300.7
700.0,3179,0.8,-40.2,3,0.17,105,16,303.3,304.0,303.4
689.0,3305,0.1,-40.9,3,0.16,100,16,303.9,304.5,303.9
654.0,3720,-2.4,-43.4,3,0.13,70,10,305.7,306.2,305.7
630.0,4017,-4.1,-45.1,2,0.11,99,6,307.0,307.4,307.0
621.0,4129,-5.0,-44.9,3,0.11,110,4,307.2,307.6,307.2
554.0,5014,-12.5,-43.5,6,0.15,84,5,308.6,309.1,308.6
500.0,5790,-17.5,-56.5,2,0.04,60,6,311.6,311.8,311.6
463.0,6359,-21.2,-58.2,2,0.03,0,10,313.9,314.1,313.9
429.0,6923,-24.9,-59.9,2,0.03,316,14,316.2,316.3,316.2
428.0,6940,-25.0,-59.5,2,0.03,315,14,316.3,316.4,316.3
400.0,7430,-27.5,-48.5,12,0.12,320,13,319.2,319.6,319.2
387.0,7668,-28.4,-48.5,13,0.12,325,19,321.1,321.6,321.1
385.0,7705,-28.5,-48.5,13,0.12,324,19,321.4,321.9,321.4
349.0,8401,-34.7,-39.4,62,0.36,307,28,322.1,323.5,322.2
336.0,8662,-36.9,-41.5,62,0.30,300,31,322.6,323.8,322.7
300.0,9440,-43.5,-47.7,63,0.17,325,39,323.9,324.6,324.0
293.0,9597,-44.9,-48.0,71,0.17,325,39,324.1,324.8,324.2
288.0,9711,-45.9,-50.6,59,0.13,325,39,324.3,324.9,324.4
284.0,9804,-46.7,-52.7,50,0.10,325,39,324.5,324.9,324.5
266.0,10231,-50.7,-54.5,64,0.09,325,42,324.8,325.1,324.8
263.0,10304,-51.3,-55.3,62,0.08,325,42,324.9,325.3,325.0
255.0,10503,-52.9,-57.5,57,0.06,320,41,325.4,325.7,325.5
250.0,10630,-52.9,-61.9,33,0.04,315,40,327.3,327.4,327.3
233.0,11085,-52.1,-76.1,4,0.01,304,45,335.2,335.2,335.2
208.0,11817,-53.6,-79.1,3,0.00,285,53,343.9,343.9,343.9
200.0,12070,-54.1,-80.1,3,0.00,290,51,346.9,346.9,346.9
182.0,12677,-52.3,-83.3,1,0.00,282,55,359.3,359.4,359.3
167.0,13230,-53.5,-84.9,1,0.00,275,59,366.4,366.4,366.4
150.0,13920,-54.9,-86.9,1,0.00,275,55,375.3,375.3,375.3
138.0,14453,-55.7,-86.7,1,0.00,272,50,382.9,382.9,382.9
123.0,15179,-59.9,-88.9,1,0.00,268,44,388.1,388.1,388.1
100.0,16460,-64.5,-89.1,2,0.00,260,32,402.8,402.9,402.8
97.2,16633,-66.1,-89.1,3,0.00,260,32,403.0,403.0,403.0
95.0,16772,-65.9,-89.1,3,0.00,260,28,406.0,406.0,406.0
