Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100422/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.47
Liftedindex,0.90
LIFTcomputedusingvirtualtemperature,0.46
SWEATindex,150.00
Kindex,23.80
Crosstotalsindex,19.80
Verticaltotalsindex,23.30
Totalstotalsindex,43.10
ConvectiveAvailablePotentialEnergy,0.70
CAPEusingvirtualtemperature,4.31
ConvectiveInhibition,-28.20
CINSusingvirtualtemperature,-23.03
EquilibrumLevel,809.90
EquilibrumLevelusingvirtualtemperature,513.84
LevelofFreeConvection,828.00
LFCTusingvirtualtemperature,844.94
BulkRichardsonNumber,0.09
BulkRichardsonNumberusingCAPV,0.58
Temp[K]oftheLiftedCondensationLevel,288.86
Pres[hPa]oftheLiftedCondensationLevel,943.69
Meanmixedlayerpotentialtemperature,293.69
Meanmixedlayermixingratio,12.04
1000hPato500hPathickness,5658.00
Precipitablewater[mm]forentiresounding,34.73
