Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120429/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,-0.76
Liftedindex,0.59
LIFTcomputedusingvirtualtemperature,0.32
SWEATindex,206.82
Kindex,27.20
Crosstotalsindex,24.20
Verticaltotalsindex,26.30
Totalstotalsindex,50.50
ConvectiveAvailablePotentialEnergy,0.32
CAPEusingvirtualtemperature,2.03
ConvectiveInhibition,-202.54
CINSusingvirtualtemperature,-194.29
EquilibrumLevel,420.78
EquilibrumLevelusingvirtualtemperature,418.14
LevelofFreeConvection,642.80
LFCTusingvirtualtemperature,644.17
BulkRichardsonNumber,0.02
BulkRichardsonNumberusingCAPV,0.12
Temp[K]oftheLiftedCondensationLevel,286.81
Pres[hPa]oftheLiftedCondensationLevel,933.59
Meanmixedlayerpotentialtemperature,292.50
Meanmixedlayermixingratio,10.64
1000hPato500hPathickness,5630.00
Precipitablewater[mm]forentiresounding,33.17
