Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150711/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.75
Liftedindex,2.47
LIFTcomputedusingvirtualtemperature,2.24
SWEATindex,143.42
Kindex,28.80
Crosstotalsindex,22.90
Verticaltotalsindex,25.10
Totalstotalsindex,48.00
ConvectiveAvailablePotentialEnergy,9.54
CAPEusingvirtualtemperature,12.87
ConvectiveInhibition,-107.72
CINSusingvirtualtemperature,-95.97
EquilibrumLevel,529.91
EquilibrumLevelusingvirtualtemperature,527.60
LevelofFreeConvection,729.44
LFCTusingvirtualtemperature,736.52
BulkRichardsonNumber,0.42
BulkRichardsonNumberusingCAPV,0.56
Temp[K]oftheLiftedCondensationLevel,284.33
Pres[hPa]oftheLiftedCondensationLevel,950.07
Meanmixedlayerpotentialtemperature,288.54
Meanmixedlayermixingratio,8.86
1000hPato500hPathickness,5526.00
Precipitablewater[mm]forentiresounding,25.49
