Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160524/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,12.27
Liftedindex,6.79
LIFTcomputedusingvirtualtemperature,6.63
SWEATindex,147.35
Kindex,-27.50
Crosstotalsindex,6.70
Verticaltotalsindex,22.70
Totalstotalsindex,29.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,281.23
Pres[hPa]oftheLiftedCondensationLevel,851.39
Meanmixedlayerpotentialtemperature,294.47
Meanmixedlayermixingratio,8.02
1000hPato500hPathickness,5646.00
Precipitablewater[mm]forentiresounding,13.91
