Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150522/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,15.94
Liftedindex,13.24
LIFTcomputedusingvirtualtemperature,13.09
SWEATindex,147.01
Kindex,-1.10
Crosstotalsindex,4.90
Verticaltotalsindex,18.90
Totalstotalsindex,23.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,277.30
Pres[hPa]oftheLiftedCondensationLevel,870.21
Meanmixedlayerpotentialtemperature,288.55
Meanmixedlayermixingratio,5.96
1000hPato500hPathickness,5583.00
Precipitablewater[mm]forentiresounding,10.18
