Stationidentifier,YBBN
Stationnumber,94578
Observationtime,151210/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,1.46
Liftedindex,0.29
LIFTcomputedusingvirtualtemperature,-0.18
SWEATindex,175.20
Kindex,31.70
Crosstotalsindex,18.90
Verticaltotalsindex,25.90
Totalstotalsindex,44.80
ConvectiveAvailablePotentialEnergy,131.34
CAPEusingvirtualtemperature,174.73
ConvectiveInhibition,-178.58
CINSusingvirtualtemperature,-145.60
EquilibrumLevel,351.09
EquilibrumLevelusingvirtualtemperature,350.92
LevelofFreeConvection,701.20
LFCTusingvirtualtemperature,712.77
BulkRichardsonNumber,9.06
BulkRichardsonNumberusingCAPV,12.06
Temp[K]oftheLiftedCondensationLevel,289.25
Pres[hPa]oftheLiftedCondensationLevel,899.59
Meanmixedlayerpotentialtemperature,298.14
Meanmixedlayermixingratio,12.97
1000hPato500hPathickness,5719.00
Precipitablewater[mm]forentiresounding,39.72
