Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100419/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.36
Liftedindex,1.19
LIFTcomputedusingvirtualtemperature,0.73
SWEATindex,149.81
Kindex,-1.00
Crosstotalsindex,19.20
Verticaltotalsindex,21.10
Totalstotalsindex,40.30
ConvectiveAvailablePotentialEnergy,43.60
CAPEusingvirtualtemperature,90.52
ConvectiveInhibition,-8.95
CINSusingvirtualtemperature,-4.48
EquilibrumLevel,714.53
EquilibrumLevelusingvirtualtemperature,516.79
LevelofFreeConvection,905.39
LFCTusingvirtualtemperature,911.77
BulkRichardsonNumber,34.89
BulkRichardsonNumberusingCAPV,72.45
Temp[K]oftheLiftedCondensationLevel,287.66
Pres[hPa]oftheLiftedCondensationLevel,919.46
Meanmixedlayerpotentialtemperature,294.66
Meanmixedlayermixingratio,11.48
1000hPato500hPathickness,5645.00
Precipitablewater[mm]forentiresounding,24.00
