Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140421/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.66
Liftedindex,2.78
LIFTcomputedusingvirtualtemperature,2.50
SWEATindex,51.40
Kindex,-9.90
Crosstotalsindex,14.90
Verticaltotalsindex,24.90
Totalstotalsindex,39.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,284.33
Pres[hPa]oftheLiftedCondensationLevel,886.25
Meanmixedlayerpotentialtemperature,294.32
Meanmixedlayermixingratio,9.51
1000hPato500hPathickness,5657.00
Precipitablewater[mm]forentiresounding,19.21
