Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100126/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.76
Liftedindex,-0.53
LIFTcomputedusingvirtualtemperature,-1.16
SWEATindex,45.21
Kindex,13.50
Crosstotalsindex,8.90
Verticaltotalsindex,28.90
Totalstotalsindex,37.80
ConvectiveAvailablePotentialEnergy,89.57
CAPEusingvirtualtemperature,165.69
ConvectiveInhibition,-390.57
CINSusingvirtualtemperature,-275.64
EquilibrumLevel,374.22
EquilibrumLevelusingvirtualtemperature,370.30
LevelofFreeConvection,647.76
LFCTusingvirtualtemperature,668.91
BulkRichardsonNumber,10.11
BulkRichardsonNumberusingCAPV,18.71
Temp[K]oftheLiftedCondensationLevel,289.55
Pres[hPa]oftheLiftedCondensationLevel,894.52
Meanmixedlayerpotentialtemperature,298.94
Meanmixedlayermixingratio,13.32
1000hPato500hPathickness,5745.00
Precipitablewater[mm]forentiresounding,27.38
