Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110901/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.35
Liftedindex,1.87
LIFTcomputedusingvirtualtemperature,1.63
SWEATindex,67.00
Kindex,-5.20
Crosstotalsindex,20.00
Verticaltotalsindex,24.30
Totalstotalsindex,44.30
ConvectiveAvailablePotentialEnergy,20.74
CAPEusingvirtualtemperature,30.18
ConvectiveInhibition,-23.93
CINSusingvirtualtemperature,-10.98
EquilibrumLevel,789.71
EquilibrumLevelusingvirtualtemperature,786.53
LevelofFreeConvection,854.84
LFCTusingvirtualtemperature,874.26
BulkRichardsonNumber,7.61
BulkRichardsonNumberusingCAPV,11.07
Temp[K]oftheLiftedCondensationLevel,283.96
Pres[hPa]oftheLiftedCondensationLevel,930.88
Meanmixedlayerpotentialtemperature,289.84
Meanmixedlayermixingratio,8.82
1000hPato500hPathickness,5547.00
Precipitablewater[mm]forentiresounding,16.83
