Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140702/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,13.78
Liftedindex,11.44
LIFTcomputedusingvirtualtemperature,11.36
SWEATindex,48.00
Kindex,-33.90
Crosstotalsindex,-3.90
Verticaltotalsindex,25.10
Totalstotalsindex,21.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,274.63
Pres[hPa]oftheLiftedCondensationLevel,863.65
Meanmixedlayerpotentialtemperature,286.40
Meanmixedlayermixingratio,4.98
1000hPato500hPathickness,5555.00
Precipitablewater[mm]forentiresounding,8.86
