PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1023.0,5,22.0,16.0,69,11.30,205,9,293.2,325.6,295.2
1005.0,157,19.8,14.8,73,10.64,189,8,292.5,323.0,294.4
1000.0,200,20.2,15.2,73,10.97,185,8,293.4,324.9,295.3
990.0,287,20.2,15.8,76,11.53,173,8,294.2,327.4,296.2
960.0,553,18.2,15.4,84,11.59,138,7,294.8,328.2,296.8
925.0,871,16.0,11.1,73,9.05,95,7,295.7,322.0,297.3
902.0,1085,14.8,7.8,63,7.41,92,9,296.6,318.4,297.9
891.0,1188,14.0,8.0,67,7.62,90,10,296.8,319.2,298.1
856.0,1525,11.3,8.8,85,8.35,90,14,297.3,321.9,298.8
850.0,1584,10.8,8.9,88,8.49,90,14,297.4,322.4,299.0
844.0,1643,10.4,7.5,82,7.76,96,14,297.6,320.6,299.0
833.0,1753,11.8,-0.2,44,4.55,106,14,300.2,314.1,301.1
826.0,1823,12.4,-16.6,12,1.27,112,14,301.6,305.8,301.8
818.0,1905,13.2,-23.8,6,0.69,120,14,303.3,305.6,303.4
816.0,1926,13.4,-25.6,5,0.59,121,14,303.7,305.7,303.8
814.0,1946,13.4,-22.6,7,0.77,121,14,303.9,306.6,304.1
765.0,2462,10.8,-23.6,7,0.75,140,11,306.5,309.1,306.6
735.0,2794,9.1,-24.2,8,0.74,115,10,308.2,310.8,308.3
700.0,3199,7.0,-25.0,8,0.72,115,10,310.2,312.8,310.3
693.0,3281,6.5,-25.4,8,0.70,115,10,310.6,313.1,310.7
655.0,3741,4.0,-28.0,8,0.59,149,7,312.8,314.9,312.9
619.0,4199,3.0,-43.0,2,0.14,184,5,316.7,317.3,316.7
608.0,4341,1.8,-39.7,3,0.20,195,4,316.9,317.7,316.9
567.0,4897,-3.0,-27.0,14,0.74,220,10,317.7,320.3,317.8
547.0,5183,-5.5,-20.5,30,1.38,221,11,318.0,322.8,318.3
503.0,5834,-10.3,-31.3,16,0.56,225,14,319.9,321.9,320.0
500.0,5880,-10.5,-31.5,16,0.55,225,14,320.2,322.2,320.3
474.0,6290,-12.3,-42.3,6,0.20,231,19,322.9,323.6,322.9
458.0,6552,-13.6,-42.9,6,0.19,235,23,324.5,325.2,324.5
449.0,6703,-14.3,-43.3,7,0.19,232,22,325.4,326.1,325.4
426.0,7100,-17.2,-41.1,11,0.25,225,20,326.6,327.6,326.6
418.0,7242,-18.3,-40.3,13,0.27,230,20,327.0,328.1,327.0
412.0,7350,-19.1,-36.1,21,0.43,233,19,327.3,329.0,327.4
400.0,7570,-20.9,-34.9,27,0.50,240,19,327.7,329.6,327.8
368.0,8179,-26.7,-31.3,65,0.76,250,23,327.9,330.8,328.1
326.0,9040,-31.4,-47.5,19,0.16,265,28,332.9,333.6,333.0
300.0,9630,-34.7,-58.7,7,0.05,265,53,336.4,336.6,336.4
299.0,9653,-34.9,-59.9,6,0.04,265,54,336.4,336.6,336.4
250.0,10880,-43.3,-65.3,7,0.02,270,90,341.6,341.7,341.6
248.0,10934,-43.7,-65.7,7,0.02,270,92,341.7,341.9,341.8
244.0,11042,-43.5,-58.5,17,0.06,270,96,343.6,343.9,343.6
219.0,11755,-49.7,-59.7,30,0.06,270,102,344.9,345.1,344.9
206.0,12150,-52.7,-64.0,24,0.03,270,105,346.3,346.4,346.3
200.0,12340,-54.1,-66.1,22,0.03,270,104,346.9,347.1,346.9
182.0,12939,-59.9,-70.9,22,0.01,275,101,347.0,347.1,347.0
179.0,13042,-60.7,,,,276,100,347.3,,347.3
150.0,14130,-66.5,,,,285,94,355.3,,355.3
142.0,14460,-68.8,,,,280,97,356.9,,356.9
141.0,14503,-69.1,,,,280,97,357.1,,357.1
124.0,15273,-68.1,,,,272,60,372.3,,372.3
120.0,15469,-69.3,,,,270,50,373.5,,373.5
114.0,15775,-71.3,,,,274,41,375.4,,375.4
104.0,16318,-71.4,,,,280,24,385.1,,385.1
100.0,16550,-71.5,,,,290,24,389.3,,389.3
91.0,17103,-72.8,,,,280,16,397.4,,397.4
89.1,17227,-73.1,,,,285,16,399.2,,399.2
87.0,17369,-72.4,,,,290,15,403.3,,403.3
81.0,17793,-70.4,,,,270,10,415.7,,415.7
71.0,18576,-66.7,,,,0,0,439.6,,439.6
70.0,18660,-66.3,,,,55,2,442.2,,442.2
69.9,18669,-66.1,,,,55,2,442.8,,442.8
65.2,19088,-68.1,,,,72,5,447.4,,447.4
60.1,19580,-65.1,,,,91,8,464.6,,464.6
58.0,19795,-66.2,,,,100,10,466.8,,466.8
56.0,20007,-67.3,,,,100,17,469.0,,469.0
55.0,20116,-67.9,,,,88,18,470.1,,470.1
54.0,20226,-67.6,,,,75,20,473.2,,473.2
52.0,20454,-67.1,,,,55,17,479.6,,479.6
50.0,20690,-66.5,,,,75,11,486.4,,486.4
48.0,20943,-65.7,,,,55,14,493.9,,493.9
45.0,21344,-64.5,,,,85,16,506.1,,506.1
40.0,22075,-62.2,,,,65,11,529.1,,529.1
39.0,22232,-61.7,,,,95,6,534.2,,534.2
