Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160212/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.08
Liftedindex,-0.09
LIFTcomputedusingvirtualtemperature,-0.61
SWEATindex,137.01
Kindex,-2.50
Crosstotalsindex,18.50
Verticaltotalsindex,23.50
Totalstotalsindex,42.00
ConvectiveAvailablePotentialEnergy,11.13
CAPEusingvirtualtemperature,63.10
ConvectiveInhibition,-6.64
CINSusingvirtualtemperature,-0.68
EquilibrumLevel,485.98
EquilibrumLevelusingvirtualtemperature,442.84
LevelofFreeConvection,839.35
LFCTusingvirtualtemperature,869.88
BulkRichardsonNumber,1.92
BulkRichardsonNumberusingCAPV,10.89
Temp[K]oftheLiftedCondensationLevel,287.58
Pres[hPa]oftheLiftedCondensationLevel,887.59
Meanmixedlayerpotentialtemperature,297.56
Meanmixedlayermixingratio,11.79
1000hPato500hPathickness,5687.00
Precipitablewater[mm]forentiresounding,24.72
