PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1014.0,5,26.6,18.6,61,13.48,5,13,298.6,338.0,301.0
1011.0,31,24.4,15.4,57,11.00,5,13,296.6,328.7,298.6
1000.0,128,23.4,16.4,65,11.87,5,12,296.6,331.0,298.7
964.0,446,20.8,15.8,73,11.83,345,5,297.0,331.5,299.1
932.0,739,18.4,15.2,82,11.79,325,7,297.5,331.9,299.6
925.0,804,18.2,14.5,79,11.34,320,8,297.9,331.1,299.9
914.0,906,17.8,11.5,67,9.42,325,10,298.5,326.3,300.2
894.0,1096,17.0,6.0,48,6.60,336,13,299.6,319.4,300.8
889.0,1143,17.2,4.2,42,5.85,339,13,300.3,318.0,301.3
883.0,1201,17.2,11.2,68,9.54,343,14,300.9,329.3,302.6
874.0,1289,17.6,6.6,48,7.04,348,16,302.2,323.4,303.4
871.0,1318,17.8,9.9,60,8.86,350,16,302.7,329.3,304.3
868.0,1348,18.0,13.2,74,11.10,347,16,303.2,336.4,305.2
852.0,1508,20.0,5.0,37,6.46,332,17,306.9,326.9,308.1
850.0,1528,19.8,4.8,37,6.38,330,17,306.9,326.6,308.1
834.0,1691,19.1,3.3,35,5.84,320,20,307.8,326.1,308.9
795.0,2102,17.4,-0.6,29,4.63,322,18,310.2,325.0,311.1
747.0,2624,12.9,-3.1,33,4.08,325,15,310.9,324.0,311.7
700.0,3170,8.2,-5.8,37,3.56,315,13,311.5,323.1,312.2
694.0,3241,7.6,-5.4,39,3.70,313,12,311.6,323.6,312.3
687.0,3323,6.9,-5.5,41,3.72,310,11,311.7,323.8,312.4
680.0,3406,6.2,-5.5,43,3.74,295,10,311.8,323.9,312.5
656.0,3696,3.6,-5.7,51,3.82,265,17,312.2,324.5,312.9
597.0,4458,-3.1,-6.3,79,4.01,245,27,312.9,325.9,313.6
589.0,4567,-4.1,-6.4,84,4.04,251,24,313.0,326.1,313.7
586.0,4607,-3.7,-12.7,50,2.47,254,23,313.9,322.1,314.4
581.0,4675,-3.7,-14.7,42,2.12,258,21,314.7,321.8,315.1
569.0,4840,-3.9,-21.9,23,1.17,268,17,316.3,320.4,316.5
560.0,4965,-4.7,-20.6,28,1.33,275,14,316.8,321.4,317.0
552.0,5079,-5.5,-19.5,32,1.49,271,15,317.2,322.3,317.5
546.0,5165,-5.1,-30.1,12,0.58,269,17,318.6,320.8,318.8
527.0,5440,-7.2,-28.6,16,0.69,260,20,319.4,321.9,319.5
500.0,5850,-10.3,-26.3,26,0.90,270,22,320.4,323.7,320.6
460.0,6485,-15.6,-27.6,35,0.87,290,26,321.5,324.6,321.6
451.0,6635,-16.9,-27.9,38,0.86,286,30,321.7,324.9,321.9
447.0,6702,-17.1,-23.1,60,1.34,284,32,322.3,327.1,322.5
440.0,6821,-16.7,-39.7,12,0.28,280,35,324.2,325.3,324.3
421.0,7151,-19.3,-26.6,52,1.04,270,44,325.1,328.8,325.3
418.0,7204,-19.7,-24.5,66,1.27,271,44,325.2,329.8,325.4
400.0,7530,-22.3,-24.6,82,1.31,275,41,325.9,330.6,326.2
396.0,7603,-23.1,-24.8,86,1.30,274,41,325.8,330.5,326.1
383.0,7846,-25.3,-30.3,63,0.81,272,40,326.0,329.1,326.2
378.0,7941,-25.7,-51.7,7,0.09,271,40,326.7,327.1,326.8
373.0,8037,-25.9,-51.6,7,0.09,270,40,327.7,328.1,327.7
363.0,8233,-26.3,-51.3,8,0.09,271,44,329.7,330.1,329.8
302.0,9534,-35.3,-55.3,11,0.07,275,70,334.9,335.2,334.9
300.0,9580,-35.7,-51.7,18,0.11,275,71,334.9,335.4,335.0
298.0,9626,-36.1,-51.4,19,0.11,275,72,335.0,335.5,335.1
278.0,10107,-40.1,-48.1,42,0.18,277,72,336.0,336.7,336.0
275.0,10181,-40.5,-50.5,33,0.14,277,72,336.4,337.0,336.5
272.0,10256,-40.1,-60.1,10,0.04,278,71,338.1,338.3,338.1
250.0,10830,-43.5,-67.5,5,0.02,280,71,341.3,341.3,341.3
205.0,12146,-48.7,-73.5,4,0.01,285,81,353.1,353.1,353.1
200.0,12310,-49.3,-74.3,4,0.01,280,81,354.5,354.6,354.5
199.0,12343,-49.3,-74.3,4,0.01,280,81,355.1,355.1,355.1
189.0,12672,-51.7,-76.0,4,0.01,275,83,356.5,356.5,356.5
164.0,13579,-58.2,-80.7,4,0.00,265,70,360.3,360.3,360.3
158.0,13818,-59.9,-81.9,4,0.00,270,65,361.3,361.3,361.3
152.0,14058,-61.7,,,,275,60,362.2,,362.2
150.0,14140,-62.3,,,,280,61,362.6,,362.6
147.0,14264,-63.3,,,,285,63,362.9,,362.9
139.0,14606,-66.1,,,,277,67,363.9,,363.9
137.0,14693,-66.4,,,,275,68,364.8,,364.8
134.0,14825,-66.9,,,,270,66,366.2,,366.2
122.0,15388,-69.0,,,,285,59,372.4,,372.4
115.0,15742,-70.3,,,,273,56,376.3,,376.3
113.0,15846,-70.4,,,,270,55,378.0,,378.0
106.0,16225,-70.9,,,,260,35,384.1,,384.1
100.0,16570,-71.3,,,,285,16,389.7,,389.7
96.0,16810,-72.3,,,,315,18,392.2,,392.2
92.0,17060,-73.4,,,,315,26,394.9,,394.9
88.3,17301,-74.5,,,,295,29,397.4,,397.4
86.0,17456,-73.8,,,,270,31,401.8,,401.8
84.0,17594,-73.2,,,,265,30,405.8,,405.8
81.0,17808,-72.3,,,,260,19,411.9,,411.9
78.0,18031,-71.3,,,,280,18,418.4,,418.4
75.7,18207,-70.5,,,,249,13,423.6,,423.6
75.0,18262,-70.7,,,,240,11,424.4,,424.4
73.0,18422,-71.3,,,,250,9,426.5,,426.5
70.1,18662,-72.1,,,,274,10,429.6,,429.6
70.0,18670,-72.1,,,,275,10,429.8,,429.8
67.0,18932,-69.5,,,,260,21,440.8,,440.8
62.8,19320,-65.7,,,,181,13,457.5,,457.5
62.0,19398,-65.5,,,,165,11,459.7,,459.7
58.8,19722,-64.5,,,,133,12,468.8,,468.8
58.0,19805,-64.6,,,,125,12,470.4,,470.4
56.0,20019,-65.0,,,,120,17,474.4,,474.4
53.0,20355,-65.5,,,,60,23,480.7,,480.7
51.0,20589,-65.9,,,,45,14,485.1,,485.1
50.8,20613,-65.9,,,,47,14,485.6,,485.6
50.0,20710,-65.3,,,,55,14,489.2,,489.2
49.0,20836,-64.9,,,,55,15,493.0,,493.0
47.0,21095,-64.0,,,,85,11,500.9,,500.9
46.0,21229,-63.6,,,,110,14,505.0,,505.0
44.0,21505,-62.7,,,,80,17,513.7,,513.7
43.0,21648,-62.2,,,,90,23,518.2,,518.2
41.0,21945,-61.3,,,,75,22,527.7,,527.7
40.0,22098,-60.8,,,,85,18,532.7,,532.7
39.0,22256,-60.3,,,,70,20,537.9,,537.9
37.0,22583,-59.2,,,,70,25,548.8,,548.8
34.0,23109,-57.5,,,,90,25,566.7,,566.7
32.0,23492,-58.1,,,,60,15,575.0,,575.0
31.0,23693,-58.4,,,,90,21,579.4,,579.4
30.0,23900,-58.7,,,,80,17,584.0,,584.0
29.9,23921,-58.7,,,,80,17,584.6,,584.6
27.0,24570,-57.1,,,,95,20,606.4,,606.4
25.0,25060,-55.9,,,,80,34,623.4,,623.4
24.0,25320,-55.2,,,,70,33,632.6,,632.6
23.0,25591,-54.5,,,,90,26,642.4,,642.4
22.0,25873,-53.8,,,,60,29,652.7,,652.7
21.0,26170,-53.1,,,,75,20,663.6,,663.6
20.0,26480,-52.3,,,,65,20,675.3,,675.3
19.0,26814,-51.4,,,,85,12,688.2,,688.2
18.0,27167,-50.4,,,,85,20,702.0,,702.0
17.0,27539,-49.4,,,,125,21,716.9,,716.9
16.4,27773,-48.7,,,,122,23,726.4,,726.4
16.0,,,,,,120,25,,,
