Stationidentifier,YBBN
Stationnumber,94578
Observationtime,141012/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.40
Liftedindex,2.35
LIFTcomputedusingvirtualtemperature,2.03
SWEATindex,20.98
Kindex,16.70
Crosstotalsindex,11.50
Verticaltotalsindex,25.50
Totalstotalsindex,37.00
ConvectiveAvailablePotentialEnergy,2.04
CAPEusingvirtualtemperature,6.93
ConvectiveInhibition,-0.13
CINSusingvirtualtemperature,0.00
EquilibrumLevel,650.49
EquilibrumLevelusingvirtualtemperature,648.94
LevelofFreeConvection,909.02
LFCTusingvirtualtemperature,913.51
BulkRichardsonNumber,0.14
BulkRichardsonNumberusingCAPV,0.48
Temp[K]oftheLiftedCondensationLevel,285.51
Pres[hPa]oftheLiftedCondensationLevel,914.53
Meanmixedlayerpotentialtemperature,292.90
Meanmixedlayermixingratio,9.97
1000hPato500hPathickness,5611.00
Precipitablewater[mm]forentiresounding,22.23
