PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1017.0,5,25.0,19.0,69,13.79,5,13,296.7,336.7,299.2
1000.0,149,23.4,19.5,79,14.48,10,13,296.6,338.5,299.1
985.0,280,22.2,19.1,83,14.32,15,14,296.6,338.1,299.2
961.0,495,20.2,18.4,89,14.06,35,13,296.7,337.5,299.2
950.0,594,19.5,17.6,89,13.50,45,12,297.0,336.2,299.4
936.0,722,18.7,16.5,87,12.80,35,12,297.4,334.7,299.7
925.0,824,18.0,15.7,86,12.27,55,11,297.7,333.5,299.9
923.0,843,17.8,15.7,88,12.30,57,11,297.7,333.6,299.9
917.0,898,17.5,14.8,84,11.69,65,10,298.0,332.1,300.1
910.0,964,17.2,13.8,80,11.01,65,10,298.3,330.6,300.2
858.0,1464,13.9,12.2,89,10.48,65,6,299.9,330.9,301.8
850.0,1544,13.4,11.9,91,10.40,55,6,300.2,330.9,302.1
839.0,1654,12.8,12.3,97,10.82,28,3,300.7,332.7,302.6
830.0,1745,12.8,12.7,99,11.24,5,1,301.6,335.0,303.6
828.0,1765,12.7,12.6,99,11.19,0,0,301.7,335.0,303.7
777.0,2299,10.4,10.0,97,10.02,0,8,304.8,335.0,306.6
770.0,2374,11.6,8.1,79,8.88,0,9,306.8,333.9,308.5
766.0,2418,12.2,-10.8,19,2.20,0,10,307.9,315.2,308.3
764.0,2440,12.2,-14.3,14,1.66,0,10,308.2,313.7,308.5
762.0,2462,12.2,-17.8,11,1.25,4,10,308.4,312.6,308.6
753.0,2561,11.6,-17.6,11,1.28,20,11,308.8,313.2,309.0
729.0,2831,10.0,-17.0,13,1.39,29,8,309.9,314.6,310.2
724.0,2888,9.4,-4.6,37,3.77,31,7,309.9,322.0,310.6
720.0,2934,9.8,-16.2,14,1.51,32,7,310.8,315.9,311.1
703.0,3132,8.4,-2.6,46,4.52,39,4,311.4,325.8,312.2
700.0,3167,8.2,-2.8,46,4.47,40,4,311.5,325.9,312.4
662.0,3626,5.0,-8.0,38,3.18,11,3,312.9,323.4,313.5
651.0,3762,3.8,-2.2,65,5.03,2,3,313.1,329.2,314.0
646.0,3825,4.0,-12.0,30,2.37,358,3,314.0,321.9,314.4
639.0,3913,3.2,-9.8,38,2.86,352,3,314.1,323.5,314.6
636.0,3951,3.1,-15.7,24,1.78,350,3,314.4,320.4,314.7
625.0,4093,2.6,-37.4,3,0.25,348,6,315.4,316.3,315.4
613.0,4248,1.5,-40.5,3,0.18,345,10,315.9,316.6,315.9
588.0,4582,-0.7,-47.0,2,0.09,315,10,317.1,317.4,317.1
584.0,4637,-1.1,-48.1,1,0.08,320,10,317.2,317.6,317.3
576.0,4747,-1.5,-47.5,2,0.09,330,10,318.0,318.4,318.0
547.0,5157,-3.1,-45.1,2,0.13,313,16,320.9,321.4,320.9
535.0,5331,-4.7,-44.2,3,0.14,305,19,321.0,321.6,321.1
520.0,5555,-6.6,-43.1,4,0.16,310,19,321.3,321.9,321.3
518.0,5585,-6.9,-42.9,4,0.17,308,19,321.3,322.0,321.3
501.0,5844,-8.4,-38.8,7,0.27,295,18,322.5,323.6,322.6
500.0,5860,-8.5,-38.5,7,0.28,295,18,322.6,323.7,322.7
476.0,6236,-10.9,-43.6,5,0.17,315,23,324.2,324.9,324.2
448.0,6700,-13.9,-49.9,3,0.09,306,28,326.1,326.5,326.1
432.0,6973,-15.6,-50.9,3,0.08,300,31,327.4,327.7,327.4
412.0,7328,-17.7,-52.3,3,0.07,300,27,329.1,329.4,329.1
