Stationidentifier,YBBN
Stationnumber,94578
Observationtime,160804/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.73
Liftedindex,3.66
LIFTcomputedusingvirtualtemperature,3.63
SWEATindex,142.41
Kindex,21.10
Crosstotalsindex,21.10
Verticaltotalsindex,24.90
Totalstotalsindex,46.00
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,281.05
Pres[hPa]oftheLiftedCondensationLevel,911.12
Meanmixedlayerpotentialtemperature,288.64
Meanmixedlayermixingratio,7.39
1000hPato500hPathickness,5531.00
Precipitablewater[mm]forentiresounding,21.82
