Stationidentifier,YBBN
Stationnumber,94578
Observationtime,121104/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.88
Liftedindex,1.16
LIFTcomputedusingvirtualtemperature,1.08
SWEATindex,100.19
Kindex,24.70
Crosstotalsindex,20.80
Verticaltotalsindex,24.50
Totalstotalsindex,45.30
ConvectiveAvailablePotentialEnergy,8.64
CAPEusingvirtualtemperature,11.55
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
EquilibrumLevel,858.26
EquilibrumLevelusingvirtualtemperature,651.59
LevelofFreeConvection,886.62
LFCTusingvirtualtemperature,886.62
BulkRichardsonNumber,0.36
BulkRichardsonNumberusingCAPV,0.48
Temp[K]oftheLiftedCondensationLevel,283.47
Pres[hPa]oftheLiftedCondensationLevel,886.62
Meanmixedlayerpotentialtemperature,293.40
Meanmixedlayermixingratio,8.97
1000hPato500hPathickness,5592.00
Precipitablewater[mm]forentiresounding,28.98
