Stationidentifier,YBBN
Stationnumber,94578
Observationtime,121125/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.75
Liftedindex,2.09
LIFTcomputedusingvirtualtemperature,1.75
SWEATindex,58.39
Kindex,23.90
Crosstotalsindex,14.50
Verticaltotalsindex,24.50
Totalstotalsindex,39.00
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,-6.82
EquilibrumLevelusingvirtualtemperature,875.72
LFCTusingvirtualtemperature,880.70
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,286.51
Pres[hPa]oftheLiftedCondensationLevel,905.57
Meanmixedlayerpotentialtemperature,294.75
Meanmixedlayermixingratio,10.78
1000hPato500hPathickness,5664.00
Precipitablewater[mm]forentiresounding,31.11
