Stationidentifier,YBBN
Stationnumber,94578
Observationtime,101214/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,1.09
Liftedindex,-0.07
LIFTcomputedusingvirtualtemperature,-0.50
SWEATindex,324.97
Kindex,28.20
Crosstotalsindex,21.60
Verticaltotalsindex,23.10
Totalstotalsindex,44.70
ConvectiveAvailablePotentialEnergy,157.33
CAPEusingvirtualtemperature,235.40
ConvectiveInhibition,-50.48
CINSusingvirtualtemperature,-25.32
EquilibrumLevel,317.14
EquilibrumLevelusingvirtualtemperature,316.89
LevelofFreeConvection,700.76
LFCTusingvirtualtemperature,754.79
BulkRichardsonNumber,11.37
BulkRichardsonNumberusingCAPV,17.02
Temp[K]oftheLiftedCondensationLevel,288.79
Pres[hPa]oftheLiftedCondensationLevel,901.24
Meanmixedlayerpotentialtemperature,297.51
Meanmixedlayermixingratio,12.56
1000hPato500hPathickness,5697.00
Precipitablewater[mm]forentiresounding,34.05
