Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150827/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.15
Liftedindex,11.12
LIFTcomputedusingvirtualtemperature,11.33
SWEATindex,109.41
Kindex,26.30
Crosstotalsindex,17.70
Verticaltotalsindex,24.70
Totalstotalsindex,42.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,273.54
Pres[hPa]oftheLiftedCondensationLevel,797.23
Meanmixedlayerpotentialtemperature,291.85
Meanmixedlayermixingratio,5.22
1000hPato500hPathickness,5616.00
Precipitablewater[mm]forentiresounding,28.96
