Stationidentifier,YBBN
Stationnumber,94578
Observationtime,111031/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.13
Liftedindex,5.37
LIFTcomputedusingvirtualtemperature,4.94
SWEATindex,206.01
Kindex,-16.40
Crosstotalsindex,18.20
Verticaltotalsindex,19.10
Totalstotalsindex,37.30
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.05
ConvectiveInhibition,-1.54
CINSusingvirtualtemperature,-1.05
EquilibrumLevel,924.51
EquilibrumLevelusingvirtualtemperature,920.36
LevelofFreeConvection,927.10
LFCTusingvirtualtemperature,928.35
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,288.48
Pres[hPa]oftheLiftedCondensationLevel,932.82
Meanmixedlayerpotentialtemperature,294.28
Meanmixedlayermixingratio,11.89
1000hPato500hPathickness,5682.00
Precipitablewater[mm]forentiresounding,29.79
