Stationidentifier,YBBN
Stationnumber,94578
Observationtime,101218/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,0.91
Liftedindex,6.33
LIFTcomputedusingvirtualtemperature,6.44
SWEATindex,247.41
Kindex,33.20
Crosstotalsindex,18.70
Verticaltotalsindex,26.70
Totalstotalsindex,45.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,280.99
Pres[hPa]oftheLiftedCondensationLevel,796.73
Meanmixedlayerpotentialtemperature,299.85
Meanmixedlayermixingratio,8.44
1000hPato500hPathickness,5761.00
Precipitablewater[mm]forentiresounding,40.19
