Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140614/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.43
Liftedindex,6.13
LIFTcomputedusingvirtualtemperature,6.14
SWEATindex,180.42
Kindex,26.60
Crosstotalsindex,16.80
Verticaltotalsindex,20.10
Totalstotalsindex,36.90
ConvectiveAvailablePotentialEnergy,11.36
CAPEusingvirtualtemperature,13.89
ConvectiveInhibition,-80.26
CINSusingvirtualtemperature,-68.75
EquilibrumLevel,705.02
EquilibrumLevelusingvirtualtemperature,705.00
LevelofFreeConvection,745.44
LFCTusingvirtualtemperature,749.73
BulkRichardsonNumber,0.27
BulkRichardsonNumberusingCAPV,0.33
Temp[K]oftheLiftedCondensationLevel,286.94
Pres[hPa]oftheLiftedCondensationLevel,955.59
Meanmixedlayerpotentialtemperature,290.70
Meanmixedlayermixingratio,10.48
1000hPato500hPathickness,5624.00
Precipitablewater[mm]forentiresounding,36.48
