Stationidentifier,YBBN
Stationnumber,94578
Observationtime,131219/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.70
Liftedindex,7.43
LIFTcomputedusingvirtualtemperature,7.08
SWEATindex,124.40
Kindex,-3.40
Crosstotalsindex,14.40
Verticaltotalsindex,17.90
Totalstotalsindex,32.30
ConvectiveAvailablePotentialEnergy,4.25
CAPEusingvirtualtemperature,6.29
ConvectiveInhibition,-11.14
CINSusingvirtualtemperature,-6.68
EquilibrumLevel,810.54
EquilibrumLevelusingvirtualtemperature,809.62
LevelofFreeConvection,832.99
LFCTusingvirtualtemperature,840.84
BulkRichardsonNumber,111.34
BulkRichardsonNumberusingCAPV,164.64
Temp[K]oftheLiftedCondensationLevel,284.05
Pres[hPa]oftheLiftedCondensationLevel,875.55
Meanmixedlayerpotentialtemperature,295.05
Meanmixedlayermixingratio,9.45
1000hPato500hPathickness,5679.00
Precipitablewater[mm]forentiresounding,21.14
