Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150114/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.96
Liftedindex,2.30
LIFTcomputedusingvirtualtemperature,2.37
SWEATindex,206.00
Kindex,33.90
Crosstotalsindex,18.20
Verticaltotalsindex,21.30
Totalstotalsindex,39.50
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,290.57
Pres[hPa]oftheLiftedCondensationLevel,907.26
Meanmixedlayerpotentialtemperature,298.77
Meanmixedlayermixingratio,14.05
1000hPato500hPathickness,5778.00
Precipitablewater[mm]forentiresounding,53.12
