Stationidentifier,YBBN
Stationnumber,94578
Observationtime,110521/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,3.42
Liftedindex,1.89
LIFTcomputedusingvirtualtemperature,1.59
SWEATindex,118.41
Kindex,24.60
Crosstotalsindex,21.20
Verticaltotalsindex,23.90
Totalstotalsindex,45.10
ConvectiveAvailablePotentialEnergy,6.15
CAPEusingvirtualtemperature,18.31
ConvectiveInhibition,-68.59
CINSusingvirtualtemperature,-56.67
EquilibrumLevel,536.42
EquilibrumLevelusingvirtualtemperature,534.42
LevelofFreeConvection,673.71
LFCTusingvirtualtemperature,693.91
BulkRichardsonNumber,0.36
BulkRichardsonNumberusingCAPV,1.06
Temp[K]oftheLiftedCondensationLevel,287.38
Pres[hPa]oftheLiftedCondensationLevel,968.50
Meanmixedlayerpotentialtemperature,290.04
Meanmixedlayermixingratio,10.65
1000hPato500hPathickness,5584.00
Precipitablewater[mm]forentiresounding,32.11
