Stationidentifier,YBBN
Stationnumber,94578
Observationtime,121129/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.61
Liftedindex,4.00
LIFTcomputedusingvirtualtemperature,3.56
SWEATindex,129.40
Kindex,19.90
Crosstotalsindex,15.70
Verticaltotalsindex,22.70
Totalstotalsindex,38.40
ConvectiveAvailablePotentialEnergy,3.30
CAPEusingvirtualtemperature,14.14
ConvectiveInhibition,-301.21
CINSusingvirtualtemperature,-239.15
EquilibrumLevel,599.51
EquilibrumLevelusingvirtualtemperature,595.02
LevelofFreeConvection,625.18
LFCTusingvirtualtemperature,655.85
BulkRichardsonNumber,0.12
BulkRichardsonNumberusingCAPV,0.52
Temp[K]oftheLiftedCondensationLevel,287.47
Pres[hPa]oftheLiftedCondensationLevel,900.77
Meanmixedlayerpotentialtemperature,296.19
Meanmixedlayermixingratio,11.53
1000hPato500hPathickness,5696.00
Precipitablewater[mm]forentiresounding,28.97
