Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140126/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,6.96
Liftedindex,3.75
LIFTcomputedusingvirtualtemperature,3.27
SWEATindex,164.20
Kindex,-9.60
Crosstotalsindex,16.00
Verticaltotalsindex,20.30
Totalstotalsindex,36.30
ConvectiveAvailablePotentialEnergy,14.36
CAPEusingvirtualtemperature,21.64
ConvectiveInhibition,-12.38
CINSusingvirtualtemperature,-5.21
EquilibrumLevel,779.61
EquilibrumLevelusingvirtualtemperature,779.05
LevelofFreeConvection,832.13
LFCTusingvirtualtemperature,848.07
BulkRichardsonNumber,3.43
BulkRichardsonNumberusingCAPV,5.16
Temp[K]oftheLiftedCondensationLevel,287.46
Pres[hPa]oftheLiftedCondensationLevel,902.57
Meanmixedlayerpotentialtemperature,296.01
Meanmixedlayermixingratio,11.49
1000hPato500hPathickness,5711.00
Precipitablewater[mm]forentiresounding,25.40
