Stationidentifier,YBBN
Stationnumber,94578
Observationtime,141007/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.85
Liftedindex,9.54
LIFTcomputedusingvirtualtemperature,9.43
SWEATindex,182.91
Kindex,-22.10
Crosstotalsindex,12.30
Verticaltotalsindex,24.30
Totalstotalsindex,36.60
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,279.97
Pres[hPa]oftheLiftedCondensationLevel,846.59
Meanmixedlayerpotentialtemperature,293.63
Meanmixedlayermixingratio,7.39
1000hPato500hPathickness,5678.00
Precipitablewater[mm]forentiresounding,15.19
