Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120515/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.22
Liftedindex,10.54
LIFTcomputedusingvirtualtemperature,10.44
Kindex,-22.00
Crosstotalsindex,20.60
Verticaltotalsindex,23.90
Totalstotalsindex,44.50
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
Temp[K]oftheLiftedCondensationLevel,272.55
Pres[hPa]oftheLiftedCondensationLevel,821.62
Meanmixedlayerpotentialtemperature,288.31
Meanmixedlayermixingratio,4.50
1000hPato500hPathickness,5534.00
Precipitablewater[mm]forentiresounding,13.43
