Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140504/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,7.04
Liftedindex,5.62
LIFTcomputedusingvirtualtemperature,5.56
SWEATindex,109.01
Kindex,-19.50
Crosstotalsindex,14.90
Verticaltotalsindex,27.90
Totalstotalsindex,42.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,272.13
Pres[hPa]oftheLiftedCondensationLevel,837.27
Meanmixedlayerpotentialtemperature,286.31
Meanmixedlayermixingratio,4.27
1000hPato500hPathickness,5460.00
Precipitablewater[mm]forentiresounding,8.65
