Stationidentifier,YBBN
Stationnumber,94578
Observationtime,150324/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.34
Liftedindex,2.17
LIFTcomputedusingvirtualtemperature,1.50
SWEATindex,169.61
Kindex,8.60
Crosstotalsindex,17.80
Verticaltotalsindex,18.30
Totalstotalsindex,36.10
ConvectiveAvailablePotentialEnergy,38.19
CAPEusingvirtualtemperature,81.77
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
EquilibrumLevel,316.75
EquilibrumLevelusingvirtualtemperature,314.07
LevelofFreeConvection,941.26
LFCTusingvirtualtemperature,942.82
BulkRichardsonNumber,23.53
BulkRichardsonNumberusingCAPV,50.38
Temp[K]oftheLiftedCondensationLevel,291.58
Pres[hPa]oftheLiftedCondensationLevel,942.82
Meanmixedlayerpotentialtemperature,296.54
Meanmixedlayermixingratio,14.37
1000hPato500hPathickness,5724.00
Precipitablewater[mm]forentiresounding,33.37
