Stationidentifier,YBBN
Stationnumber,94578
Observationtime,130515/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,9.16
Liftedindex,9.11
LIFTcomputedusingvirtualtemperature,8.94
SWEATindex,71.00
Kindex,-12.50
Crosstotalsindex,11.10
Verticaltotalsindex,25.10
Totalstotalsindex,36.20
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,277.07
Pres[hPa]oftheLiftedCondensationLevel,849.17
Meanmixedlayerpotentialtemperature,290.33
Meanmixedlayermixingratio,6.02
1000hPato500hPathickness,5593.00
Precipitablewater[mm]forentiresounding,10.81
