Stationidentifier,YBBN
Stationnumber,94578
Observationtime,121122/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,2.01
Liftedindex,-2.01
LIFTcomputedusingvirtualtemperature,-2.48
SWEATindex,100.80
Kindex,20.70
Crosstotalsindex,17.30
Verticaltotalsindex,30.30
Totalstotalsindex,47.60
ConvectiveAvailablePotentialEnergy,769.73
CAPEusingvirtualtemperature,844.69
ConvectiveInhibition,-220.40
CINSusingvirtualtemperature,-1.62
EquilibrumLevel,230.09
EquilibrumLevelusingvirtualtemperature,229.96
LevelofFreeConvection,649.30
LFCTusingvirtualtemperature,901.43
BulkRichardsonNumber,13.16
BulkRichardsonNumberusingCAPV,14.44
Temp[K]oftheLiftedCondensationLevel,287.31
Pres[hPa]oftheLiftedCondensationLevel,902.71
Meanmixedlayerpotentialtemperature,295.85
Meanmixedlayermixingratio,11.39
1000hPato500hPathickness,5657.00
Precipitablewater[mm]forentiresounding,27.64
