Stationidentifier,YBBN
Stationnumber,94578
Observationtime,131228/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,1.06
Liftedindex,1.25
LIFTcomputedusingvirtualtemperature,0.70
SWEATindex,207.20
Kindex,26.20
Crosstotalsindex,20.60
Verticaltotalsindex,23.10
Totalstotalsindex,43.70
ConvectiveAvailablePotentialEnergy,69.95
CAPEusingvirtualtemperature,101.82
ConvectiveInhibition,-159.65
CINSusingvirtualtemperature,-127.83
EquilibrumLevel,571.88
EquilibrumLevelusingvirtualtemperature,561.63
LevelofFreeConvection,683.16
LFCTusingvirtualtemperature,696.44
BulkRichardsonNumber,1.91
BulkRichardsonNumberusingCAPV,2.77
Temp[K]oftheLiftedCondensationLevel,289.75
Pres[hPa]oftheLiftedCondensationLevel,914.13
Meanmixedlayerpotentialtemperature,297.30
Meanmixedlayermixingratio,13.19
1000hPato500hPathickness,5708.00
Precipitablewater[mm]forentiresounding,37.92
