Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100906/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,8.22
Liftedindex,6.43
LIFTcomputedusingvirtualtemperature,6.51
SWEATindex,152.00
Kindex,-23.50
Crosstotalsindex,15.90
Verticaltotalsindex,20.50
Totalstotalsindex,36.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,285.58
Pres[hPa]oftheLiftedCondensationLevel,939.32
Meanmixedlayerpotentialtemperature,290.74
Meanmixedlayermixingratio,9.75
1000hPato500hPathickness,5635.00
Precipitablewater[mm]forentiresounding,23.88
