Stationidentifier,YBBN
Stationnumber,94578
Observationtime,161016/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,16.54
Liftedindex,8.92
LIFTcomputedusingvirtualtemperature,8.70
SWEATindex,24.98
Kindex,-34.50
Crosstotalsindex,1.70
Verticaltotalsindex,19.70
Totalstotalsindex,21.40
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,279.33
Pres[hPa]oftheLiftedCondensationLevel,854.44
Meanmixedlayerpotentialtemperature,292.19
Meanmixedlayermixingratio,7.01
1000hPato500hPathickness,5616.00
Precipitablewater[mm]forentiresounding,12.80
