Stationidentifier,YBBN
Stationnumber,94578
Observationtime,131002/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.35
Liftedindex,3.12
LIFTcomputedusingvirtualtemperature,2.85
SWEATindex,89.41
Kindex,-9.90
Crosstotalsindex,16.90
Verticaltotalsindex,26.90
Totalstotalsindex,43.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,282.86
Pres[hPa]oftheLiftedCondensationLevel,873.27
Meanmixedlayerpotentialtemperature,294.04
Meanmixedlayermixingratio,8.75
1000hPato500hPathickness,5643.00
Precipitablewater[mm]forentiresounding,19.79
