Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140812/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,5.00
Liftedindex,3.28
LIFTcomputedusingvirtualtemperature,3.11
SWEATindex,60.39
Kindex,23.30
Crosstotalsindex,21.70
Verticaltotalsindex,24.30
Totalstotalsindex,46.00
ConvectiveAvailablePotentialEnergy,41.64
CAPEusingvirtualtemperature,51.82
ConvectiveInhibition,-46.33
CINSusingvirtualtemperature,-17.63
EquilibrumLevel,675.20
EquilibrumLevelusingvirtualtemperature,674.08
LevelofFreeConvection,756.27
LFCTusingvirtualtemperature,850.86
BulkRichardsonNumber,1.16
BulkRichardsonNumberusingCAPV,1.44
Temp[K]oftheLiftedCondensationLevel,280.88
Pres[hPa]oftheLiftedCondensationLevel,910.48
Meanmixedlayerpotentialtemperature,288.52
Meanmixedlayermixingratio,7.31
1000hPato500hPathickness,5500.00
Precipitablewater[mm]forentiresounding,17.14
