Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120219/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,-0.31
Liftedindex,-3.03
LIFTcomputedusingvirtualtemperature,-3.65
SWEATindex,178.60
Kindex,30.90
Crosstotalsindex,22.70
Verticaltotalsindex,24.10
Totalstotalsindex,46.80
ConvectiveAvailablePotentialEnergy,820.43
CAPEusingvirtualtemperature,973.94
ConvectiveInhibition,-2.83
CINSusingvirtualtemperature,-2.79
EquilibrumLevel,221.25
EquilibrumLevelusingvirtualtemperature,221.16
LevelofFreeConvection,888.19
LFCTusingvirtualtemperature,888.65
BulkRichardsonNumber,839.41
BulkRichardsonNumberusingCAPV,996.48
Temp[K]oftheLiftedCondensationLevel,291.56
Pres[hPa]oftheLiftedCondensationLevel,930.05
Meanmixedlayerpotentialtemperature,297.68
Meanmixedlayermixingratio,14.56
1000hPato500hPathickness,5699.00
Precipitablewater[mm]forentiresounding,39.71
