Stationidentifier,YBBN
Stationnumber,94578
Observationtime,140827/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,4.54
Liftedindex,2.16
LIFTcomputedusingvirtualtemperature,1.95
SWEATindex,66.38
Kindex,17.30
Crosstotalsindex,20.10
Verticaltotalsindex,26.10
Totalstotalsindex,46.20
ConvectiveAvailablePotentialEnergy,61.22
CAPEusingvirtualtemperature,87.03
ConvectiveInhibition,-86.27
CINSusingvirtualtemperature,-67.53
EquilibrumLevel,549.70
EquilibrumLevelusingvirtualtemperature,546.89
LevelofFreeConvection,768.35
LFCTusingvirtualtemperature,790.94
BulkRichardsonNumber,2.86
BulkRichardsonNumberusingCAPV,4.07
Temp[K]oftheLiftedCondensationLevel,281.62
Pres[hPa]oftheLiftedCondensationLevel,903.37
Meanmixedlayerpotentialtemperature,289.93
Meanmixedlayermixingratio,7.76
1000hPato500hPathickness,5503.00
Precipitablewater[mm]forentiresounding,18.67
