Stationidentifier,YBBN
Stationnumber,94578
Observationtime,100901/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,14.41
Liftedindex,10.58
LIFTcomputedusingvirtualtemperature,10.35
SWEATindex,54.99
Kindex,-31.70
Crosstotalsindex,10.30
Verticaltotalsindex,16.30
Totalstotalsindex,26.60
ConvectiveAvailablePotentialEnergy,3.49
CAPEusingvirtualtemperature,7.41
ConvectiveInhibition,-48.14
CINSusingvirtualtemperature,-35.33
EquilibrumLevel,792.09
EquilibrumLevelusingvirtualtemperature,791.59
LevelofFreeConvection,827.36
LFCTusingvirtualtemperature,848.06
BulkRichardsonNumber,5.43
BulkRichardsonNumberusingCAPV,11.55
Temp[K]oftheLiftedCondensationLevel,282.28
Pres[hPa]oftheLiftedCondensationLevel,901.68
Meanmixedlayerpotentialtemperature,290.77
Meanmixedlayermixingratio,8.14
1000hPato500hPathickness,5643.00
Precipitablewater[mm]forentiresounding,16.07
